Company,Year Founded,Total Raised,HQ Country,Last Financing Date,Last Financing Deal Type,Last Financing Size,Revenue
Incuto,2016,2.58,United Kingdom,13-NOV-2020,Seed Round,1.75,
Monese,2013,91.82,United Kingdom,01-Jul-2020,Later Stage VC,32.55,
VibePay,2017,6.36,United Kingdom,,Early Stage VC,,
Wise (Application),2010,390.01,United Kingdom,19-May-2021,Debt Refinan...,,
Molo (Financial Software),2017,263.83,United Kingdom,,Early Stage VC,,
Hammock (Financial Software),2019,1.25,United Kingdom,17-Aug-2020,Seed Round,1,
Coconut,2015,8.54,United Kingdom,31-Jul-2020,Angel,3.62,
Countingup,2017,15.96,United Kingdom,04-Mar-2021,Early Stage VC,9.1,
Ikigai (Financial Software),2019,4.94,United Kingdom,01-Jun-2021,Equity Crowdfunding,1.91,
Pockit,2010,29.12,United Kingdom,24-Feb-2021,Later Stage VC,15.5,
Meniga,2009,37.24,United Kingdom,25-Mar-2021,Later Stage VC,8.61,
TaxScouts,2017,6.46,United Kingdom,06-Jun-2020,Early Stage VC,5,
TruRating,2013,24.27,United Kingdom,01-Sep-2020,Later Stage VC,6.74,
Emma (Financial Software),2017,2.49,United Kingdom,05-Mar-2020,Early Stage VC,,
Freetrade,2015,57.3,United Kingdom,22-Mar-2021,Secondary Tr...,15,
Moneybox,2015,60.1,United Kingdom,14-Dec-2020,Later Stage VC,38.77,2.51
Monzo,2015,526.87,United Kingdom,02-Dec-2020,Later Stage VC,202.44,
Oval,2016,7.92,United Kingdom,14-May-2021,Buyout/LBO,,
Percent,2015,5.1,United Kingdom,21-Dec-2020,Early Stage VC,2.41,
RoosterMoney,2009,3.35,United Kingdom,18-Sep-2020,Equity Crowdfunding,2.28,
Thyngs,2016,2.36,United Kingdom,,Early Stage VC,4.5,
Wombat (Financial Software),2017,2.01,United Kingdom,08-Feb-2021,Seed Round,2.01,
Bumper,2013,15.86,United Kingdom,30-Apr-2020,Later Stage VC,14.15,
Landbay,2013,998.13,United Kingdom,27-NOV-2020,Equity Crowdfunding,5.13,
StrideUp,2016,2.8,United Kingdom,18-Dec-2020,Early Stage VC,1.2,
Trussle,2015,26.89,United Kingdom,20-Jan-2020,Later Stage VC,7.5,
Assetz Exchange,2014,0.39,United Kingdom,26-NOV-2020,Equity Crowdfunding,0.29,
Brickowner,2015,0.35,United Kingdom,06-Jan-2021,Equity Crowdfunding,0.5,
Bricksave,2015,1.73,United Kingdom,31-Jul-2020,Later Stage VC,0.67,
Capitalise,2015,7.95,United Kingdom,21-Jul-2020,Equity Crowdfunding,2.21,
GetGround,2018,1.48,United Kingdom,05-NOV-2020,Early Stage VC,,
Landlordinvest,2014,0.29,United Kingdom,14-Mar-2020,Later Stage VC,0.14,
Sprive,2019,0.17,United Kingdom,,Early Stage VC,0.5,
Akoni,2015,1.76,United Kingdom,29-Jun-2020,Early Stage VC,,
CloudMargin,2014,26.33,United Kingdom,22-Sep-2020,Later Stage VC,15.8,
Crowd Data Systems,2016,0.37,United Kingdom,10-Dec-2020,Seed Round,0.37,
Flagstone,2013,34.55,United Kingdom,15-Feb-2021,Later Stage VC,5.57,
Genesis (Financial Software),2015,35.99,United Kingdom,15-Mar-2021,Later Stage VC,32.29,
Heron,2020,0.97,United Kingdom,09-Feb-2021,Seed Round,0.88,
Kanda,2018,0.15,United Kingdom,05-May-2021,Equity Crowdfunding,0.05,
Knoma,2018,0.75,United Kingdom,01-Oct-2020,Early Stage VC,21,
Koileno,2020,0.7,United Kingdom,29-Aug-2020,Seed Round,0.7,
MyWorkpapers,2009,3.4,United Kingdom,27-Jan-2020,Later Stage VC,3.4,
Paytia,2016,1.62,United Kingdom,27-Oct-2020,Seed Round,1.25,
Pollinate (Business/Productivity S...,2017,166,United Kingdom,18-Mar-2021,Later Stage VC,36,
Railsbank,2016,41.18,United Kingdom,12-NOV-2020,Early Stage VC,28.4,
RateSwitch,2016,0.21,United Kingdom,03-Apr-2020,Seed Round,0.05,
SaltPay,2019,512.44,United Kingdom,09-Apr-2021,Later Stage VC,361.3,
Smart Money People,2014,0.32,United Kingdom,12-Aug-2020,Corporate,,
Sonovate,2011,157.65,United Kingdom,07-0ct-2020,Secondary Tr...,2.23,
swIDch,2018,,United Kingdom,,Early Stage VC,,
Yapily,2017,16.16,United Kingdom,06-Apr-2020,Early Stage VC,10.69,
PrimaDollar,2015,74.76,United Kingdom,18-Sep-2020,Later Stage VC,1.91,
Apexx,2016,10.87,United Kingdom,11-Jun-2020,Early Stage VC,6,
AxeTrading,2009,8.92,United Kingdom,15-Jul-2020,Later Stage VC,7.22,
ClearBank,2015,154.99,United Kingdom,29-Mar-2021,Early Stage VC,18,
CoInvestor,2010,5.94,United Kingdom,19-Jun-2020,Later Stage VC,2.57,
Form3,2016,37.91,United Kingdom,16-Dec-2020,Corporate,,
Freemarket,2010,10.96,United Kingdom,24-Feb-2020,Corporate,2.5,
Paddle,2012,76.49,United Kingdom,17-NOV-2020,Later Stage VC,52,
Steel Eye,2017,20.34,United Kingdom,01-Dec-2020,Early Stage VC,5,3.5
Token,2016,39.07,United Kingdom,01-Nov-2020,Early Stage VC,11.56,
TransFICC,2016,6.74,United Kingdom,30-Apr-2020,Early Stage VC,5.75,
Beacon,2018,14.86,United Kingdom,31-May-2020,Early Stage VC,12.2,
Finverity,2017,1.1,United Kingdom,01-Mar-2020,Seed Round,0.25,
Azimo,2012,66.71,United Kingdom,04-Feb-2020,Debt - General,16.97,
Capitalise (Financial Software),2014,4.9,United Kingdom,29-Jun-2020,Early Stage VC,,
Digital Debt Capital Markets,2018,6.82,United Kingdom,21-Sep-2020,Seed Round,6.82,
Enthuse (Financial Software),2009,7.56,United Kingdom,22-Mar-2021,Later Stage VC,3.5,
Fundment,2014,5,United Kingdom,09-Jul-2020,Later Stage VC,3.59,0.7
GoodBox (B2C Electronics),2016,15.96,United Kingdom,21-Feb-2021,Later Stage VC,9,
Growth Capital Ventures,2012,1.47,United Kingdom,13-NOV-2020,Equity Crowdfunding,1.3,
Growth Street,2014,19.57,United Kingdom,01-Jun-2020,Bankruptcy:...,,
HANetf,2017,8.56,United Kingdom,22-Sep-2020,Early Stage VC,2.74,
InPlayer,2010,4.56,United Kingdom,20-0ct-2020,Later Stage VC,0.78,
Iwoca,2011,349.2,United Kingdom,20-Feb-2020,Debt - General,84.2,
Kantox,2011,27.14,United Kingdom,17-Jan-2020,Later Stage VC,8.1,0.01
LendingCrowd,2014,7.47,United Kingdom,27-Mar-2020,Later Stage VC,1.98,
Lintel,2014,0.38,United Kingdom,19-Jun-2020,Later Stage VC,0.38,
MoneyFarm,2011,111.31,United Kingdom,01-May-2020,Later Stage VC,14.5,6.16
Neptune Networks (Other Financi...,2015,12.13,United Kingdom,11-Jun-2020,Later Stage VC,12.13,
Origin Markets,2015,6.92,United Kingdom,11-Nov-2020,Later Stage VC,5.38,
Orka,2016,2.5,United Kingdom,22-Feb-2021,Early Stage VC,29,
Scalable Capital,2014,107.48,United Kingdom,22-JUI-2020,Later Stage VC,45.2,
Sharegain,2015,12.01,United Kingdom,,Later Stage VC,,
TransferGo,2012,50.34,United Kingdom,23-NOV-2020,Debt - General,4.5,15.24
TrueLayer,2016,133.6,United Kingdom,08-Apr-2021,Later Stage VC,50.56,
Ultumus,2016,8.09,United Kingdom,03-Jul-2020,Early Stage VC,2.67,
Vitesse,2013,15.65,United Kingdom,26-Jun-2020,Later Stage VC,6.59,
Wagestream,2018,64.5,United Kingdom,07-Jul-2020,Early Stage VC,20,
Better Nature,2018,2.17,United Kingdom,23-Feb-2021,Seed Round,1.3,
CellulaREvolution,2018,1.47,United Kingdom,01-Jan-2021,Early Stage VC,1,
Fighter Shots,2019,,United Kingdom,24-Sep-2020,Early Stage VC,,
Livia's,2014,2.48,United Kingdom,05-Aug-2020,Equity Crowdfunding,1.93,
Meatless Farm,2016,88.72,United Kingdom,01-Mar-2021,Later Stage VC,54,20
Multus Media,2019,,United Kingdom,11-Jun-2020,Accelerator/Incubator,,
Planty,2019,0.21,United Kingdom,02-Sep-2020,Seed Round,0.18,
SimplyCook,2012,10.25,United Kingdom,23-Feb-2021,Merger/Acqui...,,
The Food Solutions Group,2017,9.52,United Kingdom,21-Jan-2020,Early Stage VC,2.17,
The Mighty Society,2018,0.63,United Kingdom,01-Jan-2020,Early Stage VC,,
The Supplant Company,2017,17.44,United Kingdom,26-Feb-2021,Early Stage VC,17.35,
Vertical Future,2016,5.41,United Kingdom,03-Apr-2020,Early Stage VC,1.12,
Magellan Life Sciences,2014,0.91,United Kingdom,02-Jun-2021,Later Stage VC,,
Nourished,2019,10.57,United Kingdom,10-May-2021,Early Stage VC,8,
Higher Steaks,2017,4.49,United Kingdom,04-May-2021,Early Stage VC,2.5,
Orders Made Simple,2019,0.21,United Kingdom,08-Apr-2021,Early Stage VC,0.15,
Gousto,2012,197.5,United Kingdom,07-NOV-2020,Later Stage VC,25,188.79
SMASH,2020,1,United Kingdom,24-Sep-2020,Seed Round,1,
Kafoodle,2014,2.59,United Kingdom,10-Mar-2020,Later Stage VC,2,
Spoon Guru,2014,6.98,United Kingdom,22-Sep-2020,Later Stage VC,4,
HungryPanda,2016,67.52,United Kingdom,30-NOV-2020,Later Stage VC,53.05,
Dishpatch,2020,1.2,United Kingdom,09-Dec-2020,Early Stage VC,1.2,
Foodlum,2019,0.61,United Kingdom,01-Nov-2020,Seed Round,0.61,
Jelly,2017,2.04,United Kingdom,14-Apr-2020,Seed Round,2.04,
Kbox Global,2019,32,United Kingdom,17-Sep-2020,Early Stage VC,12,
Menu Guru,2017,0.28,United Kingdom,,Secondary Tr...,,
Navitas Digital Safety,2014,1.25,United Kingdom,03-Dec-2020,Debt - General,0.5,
The Neighbourhood Kitchen,2020,0.09,United Kingdom,30-Mar-2021,Angel,0.09,
Collectiv Food,2015,2.8,United Kingdom,01-Feb-2021,Later Stage VC,,
Eat & Co,2020,0.1,United Kingdom,01-Jun-2020,Early Stage VC,0.1,
Farmstand,2016,4.89,United Kingdom,,Seed Round,0.38,
110 Industries,2017,18.64,United Kingdom,14-Aug-2020,Early Stage VC,15.51,
20Shots,2018,0.94,United Kingdom,21-Dec-2020,Early Stage VC,0.54,
Dream Harvest Games,2013,3.36,United Kingdom,19-May-2021,Seed Round,0.3,
First Light Games,2018,2.01,United Kingdom,25-Mar-2020,Seed Round,1.46,
Flavourworks,2015,3.49,United Kingdom,03-Mar-2020,Early Stage VC,3.49,
labworks.io,2011,0.5,United Kingdom,03-Mar-2020,Seed Round,0.5,
Low 6,2017,6.74,United Kingdom,Expected      30-Jun-2021,Early Stage VC,,
Stakester,2019,2.3,United Kingdom,12-NOV-2020,Seed Round,2.3,
Electric Noir Studios,2017,0.72,United Kingdom,01-Jun-2020,Seed Round,0.5,
SockMonkey Studios,2013,0.25,United Kingdom,15-Jun-2020,Later Stage VC,0.25,
Footy Addicts,2013,0.15,United Kingdom,11-Mar-2020,Equity Crowdfunding,0.23,
Moj ¡works,2016,3.3,United Kingdom,04-Jun-2020,Seed Round,0.7,
Everywhere,2016,49.98,United Kingdom,13-NOV-2020,Early Stage VC,,
TG0,2015,1.81,United Kingdom,Expected      01-Dec-2021,Later Stage VC,,1.2
Fundamentally Games,2018,0.17,United Kingdom,11-Oct-2020,Accelerator/Incubator,,
Trailmix,2017,4.74,United Kingdom,27-Jan-2020,Early Stage VC,1.74,
Who Knows Wins,2014,1.3,United Kingdom,10-Jun-2020,Later Stage VC,0.24,
Improbable,2012,463.55,United Kingdom,,Early Stage VC,,
SideQuest,2019,0.5,United Kingdom,23-Sep-2020,Seed Round,0.5,
Active Needle,2016,0.82,United Kingdom,26-Mar-2020,Equity Crowdfunding,0.27,
BioHabit,2019,,United Kingdom,13-Feb-2020,Seed Round,,
Clear Surgical,2013,2.01,United Kingdom,29-Jul-2020,Later Stage VC,0.27,
Clik (Other Healthcare Technology...,2016,0.58,United Kingdom,03-Apr-2020,Early Stage VC,0.28,
Clinical Design,2014,2.39,United Kingdom,25-Jun-2020,Later Stage VC,1.57,
Closed Loop Medicine,2017,6.69,United Kingdom,24-Jul-2020,Grant,0.25,
Docspert,2020,0.03,United Kingdom,13-Jan-2021,Seed Round,,
DrDoctor,2012,3.04,United Kingdom,16-Sep-2020,Later Stage VC,3.01,
Habitual,2019,0.58,United Kingdom,30-NOV-2020,Seed Round,0.33,
Medixus,2017,0.08,United Kingdom,13-May-2020,Accelerator/Incubator,0.12,
Ori Biotech,2015,30.37,United Kingdom,24-Aug-2020,Early Stage VC,23,
Oxford Immune Algorithmics,2018,5.3,United Kingdom,06-Apr-2021,Early Stage VC,5.14,
PharmaSEAL,2016,1.52,United Kingdom,03-NOV-2020,Equity Crowdfunding,0.52,
Tooth Fairy,2019,0.6,United Kingdom,05-Dec-2020,Seed Round,0.6,
Verdel Instruments,2016,3.28,United Kingdom,01-Jul-2020,Early Stage VC,2,
Verso Biosense,2009,5.53,United Kingdom,03-Aug-2020,Later Stage VC,3.9,
Vira (Other Healthcare Technolog...,2020,1.5,United Kingdom,24-Sep-2020,Seed Round,1.5,
Watr,2017,0.45,United Kingdom,23-Jan-2021,Equity Crowdfunding,0.34,
Welbeck Health Partners,2015,27.95,United Kingdom,05-Jun-2020,Early Stage VC,12,
Atlas,2013,20.38,United Kingdom,19-NOV-2020,Corporate,9.17,
Calcivis,2011,19.83,United Kingdom,27-Apr-2020,Later Stage VC,1.99,
Ikarovec,2018,2.49,United Kingdom,15-Jun-2020,Grant,0.46,
NanoSyrinx,2018,0.2,United Kingdom,,Seed Round,,
NeRRe Therapeutics,2012,51.31,United Kingdom,11-Nov-2020,Later Stage VC,10,
Neurovalens,2015,12,United Kingdom,20-JUI-2020,Early Stage VC,5.1,
Revolo Biotherapeutics,2011,50.44,United Kingdom,21-Sep-2020,Later Stage VC,40.6,
Rightangled,2015,,United Kingdom,06-Jun-2020,Equity Crowdfunding,0.52,
VascVersa,2018,0.25,United Kingdom,01-Apr-2021,Early Stage VC,0.25,
AstronauTx,2019,7.5,United Kingdom,24-Mar-2020,Early Stage VC,7.5,
Cambridge Cancer Genomics,2017,8.01,United Kingdom,,Secondary Tr...,,
Cirdan,2010,9.6,United Kingdom,01-Jul-2020,Later Stage VC,0.78,4.51
Congenica,2012,66.28,United Kingdom,09-NOV-2020,Later Stage VC,38.72,1.52
FluoretiQ,2017,1.41,United Kingdom,14-May-2021,Early Stage VC,0.67,
Iceni Diagnostics,2014,2.36,United Kingdom,17-Dec-2020,Later Stage VC,2,
ILC Therapeutics,2012,1.55,United Kingdom,01-Dec-2020,Later Stage VC,,
Oxular,2014,49.55,United Kingdom,01-Mar-2021,Later Stage VC,27,
Sentinel Medical,2019,,United Kingdom,01-Jan-2020,Early Stage VC,,
T-Cypher Bio,2015,4.67,United Kingdom,21-Dec-2020,Early Stage VC,4.67,
Albert Health,2018,0.02,United Kingdom,15-Jul-2020,Accelerator/Incubator,,
LiveSmart,2014,4.87,United Kingdom,17-Jan-2020,Early Stage VC,2.25,
Living With,2017,0.73,United Kingdom,31-Jul-2020,Equity Crowdfunding,0.45,
Pencil Biosciences,2018,0.95,United Kingdom,15-Feb-2020,Seed Round,0.5,
Second Nature (Other Healthcare ...,2013,14.91,United Kingdom,01-Apr-2020,Later Stage VC,8.16,
WeWALK,2017,0.59,United Kingdom,01-May-2020,Seed Round,0.59,
Innoture Medical Technology,2011,3.57,United Kingdom,07-Aug-2020,Grant,0.2,
CorLife (Application Software),2016,3.84,United Kingdom,07-May-2021,Angel,0.18,
Medic Bleep,2014,1.45,United Kingdom,16-Jun-2020,Later Stage VC,1.45,
Pando Health,2016,8.09,United Kingdom,28-Jan-2020,Early Stage VC,3.8,
Signifier Medical Technologies,2015,12.33,United Kingdom,16-Sep-2020,Later Stage VC,7.71,
Knokcare,2015,1.91,United Kingdom,03-NOV-2020,Early Stage VC,1.54,
AutonoMe,2014,1.21,United Kingdom,19-Dec-2020,Early Stage VC,0.26,
Flynotes,2016,2.01,United Kingdom,23-NOV-2020,Early Stage VC,1.45,
Hospify,2013,0.84,United Kingdom,11-May-2020,Later Stage VC,0.5,
OnCare (Managed Care),2017,0.59,United Kingdom,13-Feb-2020,Equity Crowdfunding,0.24,
Salve,2016,1.39,United Kingdom,05-Aug-2020,Early Stage VC,0.89,
TestCard,2017,7.34,United Kingdom,Expected      01-Dec-2021,Early Stage VC,,
Entia,2014,6.45,United Kingdom,22-Mar-2021,Later Stage VC,,
Bond Digital Health,2015,2.1,United Kingdom,04-May-2020,Later Stage VC,0.7,
IbisVision,2013,1.14,United Kingdom,29-Sep-2020,Later Stage VC,0.4,
BioSure,2011,2.17,United Kingdom,20-Feb-2020,Later Stage VC,0.55,
Cera Care,2016,85.14,United Kingdom,20-Apr-2021,Later Stage VC,,50.71
Cytera CellWorks,2016,1.77,United Kingdom,IO-Jul-2020,Early Stage VC,0.6,
Elder,2015,18.27,United Kingdom,20-Jan-2020,Early Stage VC,8.27,
Medefer,2013,11.86,United Kingdom,11-Aug-2020,Later Stage VC,10,
MedicSpot,2016,4.09,United Kingdom,17-NOV-2020,Early Stage VC,2.36,
Oxehealth,2012,30.83,United Kingdom,09-Mar-2021,Later Stage VC,10,
Sonosine,2015,2.07,United Kingdom,30-0ct-2020,Early Stage VC,0.24,
Vida (Elder and Disabled Care),2016,6.14,United Kingdom,28-May-2021,Early Stage VC,1.12,
Oxford VR,2016,14.3,United Kingdom,12-Feb-2020,Early Stage VC,10,
Rescape Innovation,2017,0.96,United Kingdom,15-Sep-2020,Equity Crowdfunding,0.48,
Charco Neurotech,2019,2.18,United Kingdom,29-Dec-2020,Seed Round,0.54,
NuroKor,2018,2.63,United Kingdom,Expected        08-Jul-2021,Early Stage VC,15,
Waire,2018,0.04,United Kingdom,09-Feb-2020,Accelerator/Incubator,,
AQai,2018,1.14,United Kingdom,20-Sep-2020,Equity Crowdfunding,0.31,
Avail Technologies,2018,1.02,United Kingdom,19-Apr-2021,Seed Round,0.3,
Caroo,2016,2.58,United Kingdom,01-Sep-2020,Early Stage VC,2,
Florence,2016,10.87,United Kingdom,28-Dec-2020,Early Stage VC,1.5,
Hofy.,2020,1.84,United Kingdom,14-Aug-2020,Early Stage VC,1.84,
Mo,2016,7.68,United Kingdom,27-Oct-2020,Later Stage VC,3.1,
Notify Technology (Business/Prod...,2017,0.87,United Kingdom,21-Feb-2020,Early Stage VC,0.37,
Omnipresent,2019,14.04,United Kingdom,01-Dec-2020,Early Stage VC,11.96,
Otta,2018,3.1,United Kingdom,04-Aug-2020,Seed Round,2.25,
Progression,2018,,United Kingdom,01-Jan-2020,Seed Round,,
Recii,2018,0.97,United Kingdom,31-Aug-2020,Seed Round,0.14,
Sainoo,2018,,United Kingdom,01-Jan-2020,Early Stage VC,,
Sova (Human Capital Services),2015,3.3,United Kingdom,23-NOV-2020,Later Stage VC,3,
Stride,2014,0.11,United Kingdom,08-Jun-2020,Equity Crowdfunding,0.33,
Symbasync,2016,0.03,United Kingdom,,Accelerator/Incubator,,
The Supply Register,2016,1.4,United Kingdom,20-May-2021,Early Stage VC,,
Twine (Human Capital Services),2012,2.04,United Kingdom,11-Aug-2020,Angel,0.35,
Veremark,2018,0.92,United Kingdom,03-Jan-2020,Seed Round,0.91,
Zelt,2020,0.76,United Kingdom,01-Dec-2020,Seed Round,0.76,
Placed (Human Capital Services),2015,1.95,United Kingdom,23-Jan-2020,Early Stage VC,1.14,
Rota,2015,9.24,United Kingdom,14-Apr-2021,Later Stage VC,1.7,
CharlieHR,2015,2.41,United Kingdom,14-May-2020,Seed Round,1.41,
Kandidate,2015,0.96,United Kingdom,05-May-2020,Early Stage VC,0.39,
PitchMe (Human Capital Services),2017,1.05,United Kingdom,21-Aug-2020,Seed Round,0.92,
Tempo (Human Capital Services),2016,8.08,United Kingdom,29-Jun-2020,Early Stage VC,5,
Collective,2019,3.25,United Kingdom,14-Feb-2020,Seed Round,2.85,
WeeklylO,2012,0.4,United Kingdom,01-Apr-2021,Later Stage VC,0.12,
Patchwork Health,2016,4.1,United Kingdom,29-Jan-2020,Early Stage VC,2.89,
Ben,2019,2,United Kingdom,19-Feb-2020,Seed Round,2,
Culture Shift,2018,1.35,United Kingdom,05-Mar-2020,Early Stage VC,1.35,
Hinterview,2013,3.55,United Kingdom,11-Nov-2020,Debt - General,0.5,
Juggle Jobs,2015,2.95,United Kingdom,21-Apr-2021,Equity Crowdfunding,0.46,
Neotas,2017,0.97,United Kingdom,09-Mar-2020,Accelerator/Incubator,,
Unlock (Business/Productivity Soft...,2019,0.27,United Kingdom,24-Jan-2020,Accelerator/Incubator,0.12,
Your FLOCK (Human Capital Servi...,2018,0.27,United Kingdom,15-Jan-2021,Early Stage VC,0.05,
EdgelO Group,2009,4.1,United Kingdom,02-Apr-2020,Later Stage VC,2.39,
Hibob,2015,95.41,United Kingdom,29-Oct-2020,Later Stage VC,53.96,
HireHand,2014,2.28,United Kingdom,18-Feb-2020,Later Stage VC,1.47,
HiveHR,2015,4.01,United Kingdom,01-Jun-2021,Later Stage VC,0.5,1.4
XCD,2010,5.2,United Kingdom,14-Dec-2020,Later Stage VC,2,
Zen Educate,2017,11.38,United Kingdom,27-JUI-2020,Early Stage VC,3.18,
Applied,2016,5.2,United Kingdom,26-Mar-2020,Seed Round,2.75,
inploi,2016,1.85,United Kingdom,21-Feb-2020,Seed Round,0.27,
my G work,2014,1.15,United Kingdom,10-Dec-2020,Seed Round,0.75,
Perkbox,2010,28.11,United Kingdom,02-Sep-2020,Later Stage VC,17.15,
WherelsMyTransport,2015,13.54,United Kingdom,31-Jul-2020,Accelerator/Incubator,0.4,0.31
Armadillo,2019,0.31,United Kingdom,25-Apr-2020,Early Stage VC,0.31,
Fractory,2017,1.69,United Kingdom,28-May-2020,Seed Round,0.81,
Governance360,2018,0.08,United Kingdom,02-Apr-2020,Early Stage VC,0.08,
Nyobolt,2019,7.79,United Kingdom,23-Feb-2021,Early Stage VC,7.03,
ONI,2016,28.9,United Kingdom,IO-Jul-2020,Later Stage VC,6.26,
Quantum Light Metrology,2017,3.96,United Kingdom,16-Apr-2021,Seed Round,3.1,
The Baobab Network,2015,1.31,United Kingdom,11-Sep-2020,Early Stage VC,0.71,
Vector Photonics,2020,1.43,United Kingdom,14-Apr-2021,Seed Round,1.43,
Focus Sensors,2015,2.58,United Kingdom,30-Mar-2020,Early Stage VC,0.95,
Interpac,2012,1.46,United Kingdom,04-NOV-2020,Later Stage VC,0.35,
lonix Advanced Technologies,2011,6.27,United Kingdom,16-0ct-2020,Later Stage VC,1.07,
Libertine,2009,6.98,United Kingdom,22-Mar-2021,Grant,2.6,
Litelok,2013,2.56,United Kingdom,16-Sep-2020,Later Stage VC,0.8,
Salvalco,2013,2.57,United Kingdom,05-May-2020,Later Stage VC,1.5,
Vert Rotors,2013,4.14,United Kingdom,,Later Stage VC,3,
Offshore Survival Systems,2017,0.2,United Kingdom,01-Apr-2020,Seed Round,0.2,
Oxford Flow,2015,17.47,United Kingdom,03-Jun-2020,Later Stage VC,8.45,
Pick Protection,2014,1.75,United Kingdom,29-Jan-2020,Early Stage VC,0.74,
Space Forge,2018,0.6,United Kingdom,19-May-2020,Early Stage VC,0.6,
eFOLDi,2009,2.91,United Kingdom,28-May-2020,Later Stage VC,2.5,
The Algorithm People,2018,1.41,United Kingdom,01-May-2020,Early Stage VC,0.81,
ClickMechanic,2012,3.3,United Kingdom,08-Dec-2020,Equity Crowdfunding,0.1,
FreeFlow Technologies,2012,3.86,United Kingdom,30-NOV-2020,Later Stage VC,1.85,
Quiqup,2014,44.44,United Kingdom,24-NOV-2020,Later Stage VC,4.42,
Snap (Software Development Appl...,2016,8.07,United Kingdom,09-Apr-2020,Equity Crowdfunding,1.34,
Keit Spectrometers,2012,6.01,United Kingdom,24-Jul-2020,Later Stage VC,0.6,
Raptor Oil,2011,8.67,United Kingdom,16-0ct-2020,Later Stage VC,2.78,
Marble (Other Hardware),2016,0.14,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.3,
Aptem,2009,6.85,United Kingdom,08-Jan-2020,Seed Round,1.14,
SatSense,2018,2.9,United Kingdom,13-Apr-2021,Early Stage VC,1.5,
Shift,2017,10,United Kingdom,01-May-2021,Early Stage VC,1.55,
ANB Sensors,2015,0.35,United Kingdom,22-Jun-2020,Seed Round,0.35,
Big Couch,2014,0.52,United Kingdom,13-Aug-2020,Seed Round,,
LoveSpace,2011,5.91,United Kingdom,21-Jan-2020,Later Stage VC,1.03,
Paramount Group (Fiberoptic Equi...,2011,,United Kingdom,15-May-2020,Early Stage VC,,
EC3 Brokers,2013,6.5,United Kingdom,12-0ct-2020,Later Stage VC,1.5,
Pikl,2016,5.21,United Kingdom,27-NOV-2020,Early Stage VC,2.71,
PortabLco,2018,0.37,United Kingdom,08-Dec-2020,Early Stage VC,0.28,
Rnwl,2019,0.76,United Kingdom,Expected      31-Dec-2021,Early Stage VC,1,
Hiro,2017,,United Kingdom,21-Jun-2021,Seed Round,,
Orbital Witness,2017,3.89,United Kingdom,14-JUI-2020,Seed Round,3.27,
By Miles,2017,21.48,United Kingdom,01-Jul-2020,Early Stage VC,15,
Bought By Many,2012,352.03,United Kingdom,01-Jun-2021,Later Stage VC,248.52,
Instanda,2012,31.27,United Kingdom,04-Jul-2020,Later Stage VC,8.19,
Loadsure,2018,1.13,United Kingdom,27-Apr-2020,Accelerator/Incubator,,
Bikmo,2011,2.05,United Kingdom,19-May-2020,Later Stage VC,1.8,
Cyborg Nest,2016,,United Kingdom,01-Aug-2020,Product Crow...,0.05,
Rad Propulsion,2018,0.2,United Kingdom,31-Mar-2021,Seed Round,0.2,
Attis Fitness,2016,0.18,United Kingdom,21-Oct-2020,Early Stage VC,0.04,
Boundary,2018,7.59,United Kingdom,26-May-2021,Seed Round,3.7,
Doordeck,2015,0.32,United Kingdom,28-JUI-2020,Equity Crowdfunding,0.35,
Infogrid,2018,14.18,United Kingdom,04-Dec-2020,Early Stage VC,11.7,
Living Map,2010,7.79,United Kingdom,03-Dec-2020,Later Stage VC,0.84,
ZOA Robotics,2017,0.36,United Kingdom,18-Sep-2020,Equity Crowdfunding,,
CorrosionRADAR,2016,5.91,United Kingdom,10-Feb-2021,Early Stage VC,3.66,
DevicePilot,2013,4.59,United Kingdom,13-May-2020,Seed Round,1.7,
EVRYTHNG,2011,52.7,United Kingdom,07-0ct-2020,Secondary Tr...,0.14,
OpenSensors,2013,3.3,United Kingdom,16-Dec-2020,Seed Round,3,
PervasID,2011,2.98,United Kingdom,30-Apr-2020,Later Stage VC,0.64,
Spotta,2018,1.56,United Kingdom,28-Jul-2020,Seed Round,0.94,
Beyond (Information Services (B2C)),2015,4.22,United Kingdom,08-Apr-2020,Early Stage VC,1.25,
Disputed.io,2017,1.24,United Kingdom,08-Sep-2020,Seed Round,1,
Exizent,2018,4.13,United Kingdom,24-Sep-2020,Seed Round,3.6,
Repstor,2012,0.41,United Kingdom,03-May-2021,Merger/Acqui...,,
Robin Al,2018,2.8,United Kingdom,24-Mar-2021,Seed Round,1.84,
Summize (Business/Productivity S...,2018,1.85,United Kingdom,08-Dec-2020,Early Stage VC,1,
Tabled,2019,0.54,United Kingdom,31-Mar-2021,Early Stage VC,0.51,
Valla,2020,0.48,United Kingdom,15-Sep-2020,Seed Round,0.48,
Link App,2014,0.94,United Kingdom,15-Jan-2020,Later Stage VC,0.48,
ClauseMatch,2012,9.12,United Kingdom,24-Feb-2021,Later Stage VC,1.42,
Legislate Technologies,2020,1.15,United Kingdom,11-Mar-2021,Seed Round,1,
Adrestia Therapeutics,2017,7.35,United Kingdom,18-Dec-2020,Early Stage VC,7,
Alchemab Therapeutics,2019,60.18,United Kingdom,15-Apr-2021,Early Stage VC,60,
